name,category,Protein,Carbohydrates,Sugar,Fat,Fiber,Sodium,allergen,allergen_milk,allergen_nuts,allergen_soybeans,allergen_gluten,allergen_eggs,calculated_nutriscore,health_class
Blackcurrent - Tesco,drinks,0.667,0.667,0.667,0.667,1.2,0.667,Allergens: Apple,0,0,0,0,0,3,Harmful
yogurt líquido frutos silvestres - Milbona - 1.5kg,drinks,2.7,11.5,11.4,0.8,12.751875527426158,0.11,Allergens: Apple,0,0,0,0,0,2,Neutral
Cherries & Berries - Tesco - 1.5l,drinks,0.1,0.2,0.2,0.1,0.0,0.1,Allergens: Apple,0,0,0,0,0,3,Harmful
Kefir tropical - Asda,drinks,14.52,18.0,13.0,29.935,20.232014218009482,2.62,Allergens: Milk,1,0,0,0,0,2,Neutral
Mandel drink natur - Dm Bio - 1l,drinks,0.9,0.5,0.5,0.2,0.2,0.1,"Allergens: Nuts, Nuts",0,1,0,0,0,2,Neutral
Fanta - St-Hubert,drinks,0.0,14.0,13.7,0.0,0.0,2.62,"Allergens: Nuts, Nuts",0,1,0,0,0,3,Harmful
Jibal - safilait - 235g,drinks,1.4,14.729708803611738,11.5,0.4,12.751875527426158,0.04,Allergens: Milk,1,0,0,0,0,2,Neutral
Kombucha,drinks,0.5,1.6,0.0,0.1,0.5,0.0,Allergens: Milk,1,0,0,0,0,2,Neutral
Rainbow dust v1.0 - spacegoods - 240g,drinks,3.75,7.5,3.75,0.0,20.232014218009482,0.0,Allergens: Milk,1,0,0,0,0,1,Beneficial
appy fizz - parle agro appy fizz - 250ml,drinks,0.0,12.95,12.9,11.578162962962963,12.751875527426158,0.053,Allergens: Milk,1,0,0,0,0,2,Neutral
